epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14935.8,1.07751,1.01121,1.2769,0.82465,0.75165,0.80536,0.55932,1.2513,0.99652,1.48376,0.000312497,0.000312497,0.000312497
43,15269.8,1.10462,1.03751,1.29727,0.80947,0.78502,0.82334,0.57495,1.1926,0.96557,1.43483,0.000307289,0.000307289,0.000307289
44,15600.6,1.09602,1.01089,1.29936,0.86246,0.74942,0.83116,0.57432,1.22831,0.97167,1.41756,0.000302082,0.000302082,0.000302082
45,15931.2,1.078,0.98519,1.27216,0.84122,0.75547,0.82554,0.57064,1.23132,0.96174,1.44468,0.000296874,0.000296874,0.000296874
46,16261.5,1.06411,0.98307,1.27544,0.82049,0.79301,0.84203,0.57576,1.16816,0.9843,1.4542,0.000291667,0.000291667,0.000291667
47,16593.4,1.04966,0.96526,1.25744,0.82575,0.77424,0.81068,0.552,1.2001,0.92761,1.44921,0.00028646,0.00028646,0.00028646
48,16925.5,1.07002,0.95857,1.27522,0.82719,0.77655,0.83125,0.56234,1.20767,0.89607,1.42599,0.000281252,0.000281252,0.000281252
49,17257.3,1.04537,0.95508,1.25092,0.83605,0.78713,0.82875,0.57954,1.15383,0.90607,1.42026,0.000276045,0.000276045,0.000276045
50,17588.3,1.04594,0.93893,1.26416,0.80175,0.80408,0.84402,0.58862,1.17945,0.87413,1.43391,0.000270837,0.000270837,0.000270837
51,17918.8,1.03827,0.94213,1.26191,0.8553,0.80266,0.83913,0.58917,1.19451,0.8869,1.42859,0.00026563,0.00026563,0.00026563
52,18250.3,1.01719,0.90794,1.23655,0.8432,0.81387,0.84564,0.58811,1.18301,0.8906,1.44199,0.000260423,0.000260423,0.000260423
53,18581.1,1.00743,0.91164,1.23771,0.81675,0.7578,0.80749,0.56041,1.16764,0.86699,1.4556,0.000255215,0.000255215,0.000255215
54,18913.8,1.00671,0.89573,1.24249,0.80658,0.80019,0.8221,0.56018,1.22272,0.91513,1.4689,0.000250008,0.000250008,0.000250008
55,19245.6,0.99448,0.87642,1.22929,0.85164,0.7985,0.83609,0.574,1.19991,0.89423,1.45302,0.0002448,0.0002448,0.0002448
56,19578.1,0.98962,0.8749,1.22146,0.8223,0.81785,0.84602,0.58889,1.17857,0.85356,1.47321,0.000239593,0.000239593,0.000239593
57,19910.1,0.98142,0.87753,1.22131,0.82399,0.80355,0.81329,0.55813,1.24755,0.88927,1.50203,0.000234386,0.000234386,0.000234386
58,20242.9,0.97322,0.84855,1.21923,0.78911,0.83151,0.83926,0.57169,1.23137,0.87068,1.45945,0.000229178,0.000229178,0.000229178
59,20575.5,0.95261,0.84186,1.21149,0.79137,0.81856,0.81403,0.56541,1.18204,0.84666,1.44779,0.000223971,0.000223971,0.000223971
60,20908.2,0.98171,0.84256,1.21608,0.81138,0.78957,0.83618,0.57989,1.17073,0.83751,1.43712,0.000218763,0.000218763,0.000218763
61,21241,0.9493,0.84392,1.19888,0.84945,0.79421,0.8345,0.59109,1.20371,0.8588,1.48255,0.000213556,0.000213556,0.000213556
62,21574.4,0.97112,0.8516,1.21071,0.77367,0.83946,0.82482,0.5645,1.22923,0.85366,1.47836,0.000208349,0.000208349,0.000208349
63,21906.3,0.95345,0.82019,1.19857,0.86587,0.81398,0.84469,0.59127,1.17305,0.84873,1.47271,0.000203141,0.000203141,0.000203141
64,22239.5,0.9411,0.82374,1.20565,0.80375,0.84194,0.82907,0.58657,1.17423,0.85275,1.46111,0.000197934,0.000197934,0.000197934
65,22571.9,0.95429,0.80976,1.19998,0.86802,0.8112,0.85606,0.59123,1.17484,0.85903,1.44809,0.000192726,0.000192726,0.000192726
66,22903.2,0.92981,0.79362,1.18957,0.83814,0.81707,0.84771,0.59589,1.15544,0.84351,1.42883,0.000187519,0.000187519,0.000187519
67,23235.1,0.95586,0.8045,1.20195,0.81991,0.80851,0.84812,0.60165,1.15526,0.84062,1.44114,0.000182312,0.000182312,0.000182312
68,23566.4,0.91635,0.78835,1.17781,0.78793,0.84478,0.8336,0.57501,1.16708,0.83373,1.43805,0.000177104,0.000177104,0.000177104
69,23898.2,0.92427,0.7879,1.1823,0.92181,0.77603,0.84804,0.57727,1.2066,0.84086,1.46346,0.000171897,0.000171897,0.000171897
70,24230.6,0.92573,0.77925,1.17848,0.88257,0.7757,0.84104,0.58597,1.15038,0.81845,1.43808,0.000166689,0.000166689,0.000166689
71,24562.3,0.915,0.77821,1.17004,0.86451,0.79415,0.84309,0.58839,1.16298,0.79105,1.45696,0.000161482,0.000161482,0.000161482
72,24893.7,0.92456,0.77552,1.17903,0.8125,0.8461,0.84339,0.58725,1.15018,0.82029,1.45327,0.000156275,0.000156275,0.000156275
73,25224.3,0.91538,0.78975,1.19201,0.86207,0.83561,0.85826,0.59811,1.14254,0.82035,1.42246,0.000151067,0.000151067,0.000151067
74,25556.2,0.89087,0.74831,1.16222,0.8208,0.83504,0.85219,0.59054,1.17239,0.82993,1.45623,0.00014586,0.00014586,0.00014586
75,25890,0.91105,0.78141,1.17838,0.83427,0.81422,0.84529,0.57854,1.20776,0.82931,1.45283,0.000140652,0.000140652,0.000140652
76,26223.5,0.8816,0.73198,1.159,0.87448,0.79316,0.85009,0.58335,1.19251,0.84928,1.4792,0.000135445,0.000135445,0.000135445
77,26555.7,0.88897,0.7643,1.16015,0.90172,0.75047,0.83622,0.58812,1.15171,0.83089,1.45807,0.000130238,0.000130238,0.000130238
78,26887.3,0.87324,0.74159,1.15272,0.86681,0.80556,0.82818,0.58203,1.15471,0.82436,1.45427,0.00012503,0.00012503,0.00012503
79,27225.8,0.86521,0.74792,1.15238,0.85433,0.79333,0.8398,0.5865,1.14288,0.81568,1.44421,0.000119823,0.000119823,0.000119823
80,27564,0.87965,0.72474,1.15722,0.87687,0.76337,0.84066,0.58846,1.14422,0.80507,1.43986,0.000114615,0.000114615,0.000114615
81,27895.1,0.87994,0.73804,1.15823,0.84201,0.76555,0.83924,0.58284,1.13343,0.80572,1.45135,0.000109408,0.000109408,0.000109408
82,28295.3,0.87035,0.74276,1.15622,0.87486,0.77493,0.84145,0.58069,1.12969,0.83053,1.46195,0.000104201,0.000104201,0.000104201
83,28726,0.84614,0.71386,1.13869,0.84846,0.81045,0.84201,0.58168,1.16908,0.84096,1.47087,9.89932e-05,9.89932e-05,9.89932e-05
84,29174.4,0.85069,0.69701,1.14224,0.87064,0.76456,0.84767,0.59599,1.14431,0.82556,1.45574,9.37858e-05,9.37858e-05,9.37858e-05
85,29612.4,0.83282,0.69456,1.12991,0.85996,0.77313,0.83253,0.58039,1.12384,0.80037,1.44381,8.85784e-05,8.85784e-05,8.85784e-05
86,30034.7,0.83977,0.67957,1.12932,0.87076,0.75764,0.84519,0.58593,1.13871,0.8228,1.46385,8.3371e-05,8.3371e-05,8.3371e-05
87,30455,0.83934,0.69981,1.13521,0.81162,0.80101,0.82384,0.56904,1.14581,0.80024,1.459,7.81636e-05,7.81636e-05,7.81636e-05
88,30845.1,0.83874,0.71164,1.13651,0.84726,0.77556,0.82503,0.57483,1.17338,0.80616,1.47077,7.29562e-05,7.29562e-05,7.29562e-05
89,31239.1,0.82222,0.68262,1.12412,0.80203,0.80285,0.82677,0.56939,1.15796,0.80061,1.47025,6.77488e-05,6.77488e-05,6.77488e-05
90,31630.5,0.83284,0.6947,1.13342,0.84066,0.77299,0.82704,0.57322,1.16735,0.81371,1.47061,6.25414e-05,6.25414e-05,6.25414e-05
91,32017.3,0.66747,0.45839,1.04912,0.80926,0.8347,0.84537,0.58336,1.17971,0.7954,1.48798,5.7334e-05,5.7334e-05,5.7334e-05
92,32400.8,0.63925,0.4191,1.03138,0.86793,0.79702,0.86367,0.59739,1.16708,0.77957,1.47916,5.21266e-05,5.21266e-05,5.21266e-05
93,32810,0.62371,0.40455,1.01564,0.83692,0.83555,0.86407,0.60428,1.15578,0.77316,1.46695,4.69192e-05,4.69192e-05,4.69192e-05
94,33199.4,0.62807,0.40231,1.02821,0.87942,0.82534,0.86477,0.60445,1.1553,0.76093,1.46791,4.17118e-05,4.17118e-05,4.17118e-05
95,33581.5,0.61248,0.40183,1.02119,0.82625,0.81876,0.83973,0.59012,1.1408,0.75763,1.45245,3.65044e-05,3.65044e-05,3.65044e-05
96,33959.7,0.61434,0.40832,1.02437,0.84991,0.81641,0.85175,0.59147,1.14858,0.76375,1.4548,3.1297e-05,3.1297e-05,3.1297e-05
97,34311.4,0.60984,0.39308,1.02286,0.80335,0.82801,0.85574,0.59821,1.15372,0.76975,1.4588,2.60896e-05,2.60896e-05,2.60896e-05
98,34642.1,0.60422,0.39146,1.01625,0.81968,0.81904,0.84446,0.59333,1.16393,0.77266,1.47033,2.08822e-05,2.08822e-05,2.08822e-05
99,34973.2,0.59756,0.38398,1.00779,0.83081,0.81771,0.84895,0.59777,1.14539,0.76369,1.46149,1.56748e-05,1.56748e-05,1.56748e-05
100,35303,0.58282,0.3819,0.99747,0.82049,0.82116,0.84474,0.59396,1.14534,0.7737,1.46273,1.04674e-05,1.04674e-05,1.04674e-05
